Episode,Reward,Loss,Epsilon
1,52.666666666666664,0.0,1.0
2,47.166666666666664,0.0,1.0
3,51.666666666666664,0.0,1.0
4,50.16666666666667,0.0,1.0
5,52.66666666666667,0.0,1.0
6,61.166666666666664,0.0,1.0
7,54.33333333333333,29.807325090680802,0.9860837205593285
8,53.333333333333336,24.57511501312256,0.9665385978827737
9,54.33333333333333,19.416425704956055,0.9473808782354717
10,53.83333333333334,18.92667622566223,0.9286028829187744
11,51.166666666666664,8.038211703300476,0.9101970854331864
12,54.0,21.738074350357056,0.8921561084616334
13,57.16666666666667,13.43648567199707,0.8744727209125218
14,53.33333333333333,17.925197744369505,0.857139835021412
15,51.49999999999999,28.279269218444824,0.8401505035101353
16,52.5,22.90456666946411,0.823497916802223
17,51.83333333333333,42.62575893402099,0.8071754002935261
18,52.5,45.3762020111084,0.7911764116769353
19,58.33333333333334,43.651206970214844,0.7754945383201266
20,51.333333333333336,52.626826477050784,0.7601234946952835
21,55.333333333333336,52.648990631103516,0.7450571198597635
22,49.833333333333336,63.419746017456056,0.7302893749867018
23,56.666666666666664,72.19903221130372,0.7158143409445584
24,53.166666666666664,83.86282577514649,0.7016262159246435
25,50.50000000000001,96.85091972351074,0.6877193131156653
26,50.333333333333336,89.33622436523437,0.6740880584243727
27,51.83333333333333,126.6576992034912,0.6607269882413744
28,53.0,141.7752456665039,0.6476307472512451
29,57.66666666666667,132.72308883666992,0.6347940862860335
30,50.83333333333333,170.2142776489258,0.6222118602213194
31,53.833333333333336,188.8503204345703,0.6098790259139696
32,54.0,245.0161575317383,0.5977906401807734
33,49.83333333333333,280.0460861206055,0.5859418578171399
34,53.666666666666664,337.1386459350586,0.5743279296550683
35,50.666666666666664,325.4150588989258,0.5629442006596105
36,52.16666666666667,269.3636444091797,0.5517861080630647
37,54.99999999999999,337.0740249633789,0.5408491795361501
38,54.666666666666664,362.5729217529297,0.5301290313954304
39,50.83333333333334,372.15355224609374,0.5196213668462686
40,52.83333333333334,423.86021423339844,0.5093219742606079
41,55.50000000000001,489.570703125,0.4992267254888887
42,51.166666666666664,489.5966148376465,0.48933157420542517
43,60.833333333333336,495.1903106689453,0.47963255428657714
44,53.00000000000001,501.38177490234375,0.47012577822106927
45,51.666666666666664,598.0835357666016,0.46080743555181836
46,50.166666666666664,507.00318908691406,0.4516737913486464
47,49.833333333333336,654.95888671875,0.4427211847112641
48,55.666666666666664,621.5247039794922,0.43394602730192866
49,53.0,620.5176177978516,0.4253448019071833
50,52.00000000000001,822.0345336914063,0.4169140610281074
51,60.0,604.823486328125,0.40865042549850655
52,63.5,1111.0327575683593,0.4005505831304933
53,52.33333333333333,1043.8514587402344,0.3926112873869124
54,51.166666666666664,1144.3528442382812,0.3848293560800811
55,54.66666666666666,1631.34697265625,0.37720167009632055
56,55.333333333333336,1162.0453369140625,0.36972517214576905
57,61.33333333333334,2248.058642578125,0.3623968655369748
58,57.0,2239.031213378906,0.3552138129757769
59,54.16666666666667,2046.4435913085938,0.34817313538799527
60,53.666666666666664,2953.7980224609373,0.34127201076545394
61,63.5,2167.729345703125,0.3345076730348788
62,59.0,4998.938330078125,0.32787741094921413
63,58.83333333333333,4192.99599609375,0.3213785670009146
64,58.00000000000001,6114.1995849609375,0.3150085363567769
65,57.666666666666664,9236.017626953126,0.30876476581388335
66,50.16666666666667,7180.751806640625,0.30264475277624087
67,55.166666666666664,15552.71650390625,0.296646044251703
68,61.833333333333336,12591.4734375,0.2907662358687743
69,53.833333333333336,20307.075390625,0.2850029709129025
70,60.16666666666667,27724.5484375,0.2793539393818723
71,58.833333333333336,19473.4357421875,0.2738168770599221
72,60.666666666666664,43842.6529296875,0.2683895646102127
73,57.83333333333334,37639.3109375,0.2630698266852845
74,58.5,51781.4841796875,0.25785553105514525
75,60.0,87662.7296875,0.25274458775264114
76,50.50000000000001,63615.092578125,0.2477349482357666
77,59.5,120149.39375,0.24282460456657842
78,57.166666666666664,127686.18671875,0.23801158860638427
79,54.833333333333336,160160.7234375,0.2332939712268835
80,60.5,227612.31875,0.22866986153694388
81,64.5,201957.890625,0.22413740612470434
82,61.0,325781.53515625,0.21969478831470007
83,69.66666666666666,348588.459375,0.21534022743971176
84,64.5,400248.0015625,0.21107197812704787
85,61.0,505208.05,0.20688832959897338
86,68.0,368517.3921875,0.20278760498700457
87,64.5,619407.25,0.1987681606597951
88,58.50000000000001,574997.446875,0.19482838556434456
89,60.5,673480.165625,0.19096670058026402
90,59.66666666666667,875140.28125,0.18718155788684138
91,59.5,769753.1375,0.1834714403426517
92,62.5,1165020.00625,0.17983486087746461
93,58.83333333333333,1192483.1375,0.17627036189620413
94,59.33333333333333,1520646.05,0.1727765146947233
95,62.16666666666667,1685599.76875,0.16935191888715792
96,56.166666666666664,1689168.45,0.16599520184463137
97,64.5,2318487.9125,0.1627050181450845
98,60.666666666666664,2248771.675,0.15948004903401053
99,53.666666666666664,2260188.9625,0.15631900189587844
100,64.5,3109180.0875,0.15322060973603369
101,59.666666666666664,2902046.325,0.15018363067286786
102,55.5,4279075.9625,0.14720684744005408
103,64.5,3520128.95,0.14428906689864854
104,64.5,4770884.725,0.14142911955886275
105,67.83333333333334,5637794.2,0.13862585911131461
106,60.99999999999999,5309500.35,0.13587816196757047
107,62.66666666666667,7748821.375,0.13318492680979446
108,64.5,7834634.6,0.1305450741493238
109,64.5,7282995.2,0.12795754589399347
110,64.5,10044095.45,0.1254213049240377
111,64.5,10139070.6,0.12293533467639643
112,60.5,15994576.05,0.12049863873726199
113,64.5,12468228.05,0.11811024044270164
114,58.333333333333336,16059583.1,0.11576918248719602
115,60.666666666666664,20690938.1,0.11347452653993707
116,64.5,18342508.0,0.1112253528687309
117,64.5,28824072.3,0.10902075997135566
118,60.33333333333333,26502140.4,0.10685986421422587
119,70.5,28505702.0,0.10474179947821913
120,64.5,42535154.2,0.10266571681152252
121,64.5,36297940.0,0.1006307840893603
122,63.5,56467796.4,0.09863618568046575
123,64.5,49468467.2,0.09668112212016418
124,63.5,51621938.2,0.09476480978993551
125,64.5,74551591.6,0.09288648060332844
126,62.66666666666667,59614734.8,0.09104538169809986
127,64.0,86250411.6,0.0892407751344566
128,64.5,88034621.6,0.08747193759927811
129,60.66666666666667,69749046.4,0.0857381601162018
130,60.5,103251160.4,0.08403874776145495
131,62.66666666666667,92123507.2,0.08237301938531869
132,64.5,135881865.2,0.08074030733911326
133,62.66666666666667,113628010.8,0.0791399572075944
134,64.5,154238708.0,0.07757132754665408
135,64.5,224524665.6,0.0760337896262201
136,64.5,194669557.6,0.07452672717825178
137,64.5,261775571.2,0.07304953614973056
138,57.66666666666667,255017134.4,0.07160162446054656
139,64.5,264691939.2,0.0701824117661841
140,64.5,342324054.4,0.06879132922511094
141,64.5,335329300.8,0.06742781927077823
142,62.333333333333336,397745737.6,0.06609133538813955
