GW,samples,MAE,RMSE
34,450,1.3067900742444443,2.11423183222445
35,452,1.3263262513672567,2.1659749239950723
36,455,1.2848794802597803,2.071665308782725
37,579,1.2731725349447323,2.0649038183969735
38,581,1.3022129591996556,2.146909478233968
