config,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,val_mae,val_rmse,val_r2
2,300,0.05,4,0.8,0.8,1.00192129611969,2.050823451016686,0.3368803858757019
1,200,0.05,3,0.8,0.8,1.0020502805709839,2.0457860947675917,0.34013402462005615
4,300,0.03,5,0.8,0.8,1.002920150756836,2.046838541652585,0.3394549489021301
5,500,0.03,3,0.9,0.9,1.004072904586792,2.047104101973123,0.3392835259437561
3,500,0.05,4,0.8,0.8,1.0056926012039185,2.057182161016257,0.3327619433403015
6,500,0.05,6,0.8,0.8,1.0119564533233643,2.0784716783052612,0.31888020038604736
