GW,samples,MAE,RMSE
34,450,0.95810834884,1.883415338007931
35,452,0.9244840242787611,1.8261989329976909
36,455,0.8532861242571429,1.67524663956902
37,579,0.925615761027634,1.8833474788358107
38,581,1.0330954537142858,1.9924368640278556
