epoch,train_loss,val_loss,val_mae,val_rmse,val_corr,learning_rate
1,6.5438621128941685,4.728322501407576,1.3225129842758179,2.174470736245509,0.5419530868530273,0.001
2,5.891667107712514,4.816994003889079,1.1465815305709839,2.1947652874631545,0.5454630255699158,0.001
3,5.855274123520608,4.668431774286708,1.240951657295227,2.1606554003081135,0.5470637083053589,0.001
4,5.802019771440416,4.66375436864452,1.2284784317016602,2.1595726397504307,0.5482975244522095,0.001
5,5.805718082875238,4.685992335019228,1.1744389533996582,2.164715279408764,0.5474570393562317,0.001
6,5.760595716202257,4.722735058046182,1.1845855712890625,2.1731854334435208,0.5478191375732422,0.001
7,5.771538180522051,4.662755071972291,1.234745740890503,2.1593413376565103,0.5477174520492554,0.001
8,5.748327211470931,4.662283700152351,1.247655987739563,2.159232136793713,0.5480414628982544,0.001
9,5.697152089028207,4.665166868232374,1.2629399299621582,2.1598997325937144,0.5485200881958008,0.001
10,5.67183014658874,4.683046830856133,1.2139689922332764,2.1640348467110093,0.5454186201095581,0.001
11,5.66972752000095,4.709225071830451,1.2310928106307983,2.170074924458806,0.5427939295768738,0.001
12,5.658584932699051,4.785143088636887,1.1505900621414185,2.187496948240059,0.543387234210968,0.001
13,5.600226148496165,4.756361985328861,1.179591178894043,2.180908517422211,0.5409185886383057,0.001
14,5.557356098539457,4.7477799013229145,1.219049096107483,2.178940074024847,0.5367802381515503,0.001
15,5.50283130719125,4.811238724058147,1.2194019556045532,2.193453616039453,0.5292626023292542,0.0005
16,5.377565655900522,4.779708123258308,1.2135753631591797,2.186254419199085,0.531899094581604,0.0005
17,5.305165693348731,4.842176816029126,1.1999918222427368,2.2004946976112185,0.5267419815063477,0.0005
18,5.284177779063058,4.805673326741186,1.2245794534683228,2.1921844460648945,0.5287019610404968,0.0005
19,5.213563839607688,4.866792438811864,1.202672004699707,2.206080733335897,0.5227503776550293,0.0005
20,5.135940395638185,4.901771699223265,1.238957405090332,2.213994584963413,0.5161653757095337,0.0005
21,5.086122926866155,4.905038859878737,1.180811882019043,2.2147322261659905,0.5168307423591614,0.0005
22,4.99898176807605,4.937612143766276,1.2223056554794312,2.2220738189205544,0.5108922123908997,0.00025
23,4.9466596270230685,4.93935465707773,1.234748363494873,2.2224659494681602,0.511622965335846,0.00025
24,4.883309814983939,4.944499463675201,1.2086187601089478,2.2236230554312177,0.509392499923706,0.00025
25,4.882165918154061,4.995425085888923,1.1941227912902832,2.2350446857875217,0.5038841366767883,0.00025
26,4.8394239248721265,5.015052974789945,1.2271323204040527,2.2394313553690712,0.5010433793067932,0.00025
27,4.782945974751246,4.9885540643457675,1.2230901718139648,2.2335071078585114,0.5052225589752197,0.00025
28,4.764973173662814,5.061382248143745,1.2389603853225708,2.249751607111588,0.4961312711238861,0.00025
